Tenant ID,Property,Account ID ,Environment,Resource ID,Region,Availability Zone,Instance Type - Current,Currency Code,Unit Price - Current,SPEND,Hours Running,CPU Max,Memory Max,GPU Max,GPU Memory Max,Min Instance Count,Max Instance Count,RECOMMENDATION,Instance Type - Recommended,Min Instances - Recommended,Max Instances - Recommended,Unit Price - Recommended,Sum of Savings,Savings Percent,RISK,Idle Time,VCPU - Current,VCPU - Recommended,Memory - Current,Memory - Recommended,CPU Ratio,Memory Ratio,App ID,Cluster Name,auto-scale group,Export Order,
AML,AML Monitoring,124321196922,test,124321196922:us-west-2:rubix-asg-centcom-uat-otel-20240221030250869100000003,us-west-2,us-west-2b,m7g.4xlarge,USD,$0.11,$410.00,"4,438",11,17,,,4,10,Autoscale,r6g.medium,5,11,$0.01,$365.59,89%,0,0,16,1,64,8,0,0,56206,centcom-uat-otel,rubix-asg-centcom-uat-otel-20240221030250869100000003,634,
AML,AML Monitoring,441626067991,prod,441626067991:us-east-1:rubix-asg-centcom-cortex-useast1-gbi-20250617132531733300000003,us-east-1,us-east-1b,r7g.4xlarge,USD,$0.15,$33.00,229,4,4,,,3,4,Autoscale,x2gd.medium,1,3,$0.01,$31.82,96%,0,0,16,1,128,16,0,0,56206,centcom-cortex-useast1-gbi,rubix-asg-centcom-cortex-useast1-gbi-20250617132531733300000003,4168,
AML,AML Monitoring,441626067991,prod,441626067991:us-east-1:rubix-asg-cortex-metrics1-us-east1-20250603055730926100000003,us-east-1,us-east-1b,r7g.4xlarge,USD,$0.15,$600.00,"4,645",50,4,,,2,10,Autoscale,c6g.large,1,32,$0.01,$427.06,71%,0,0,16,2,128,4,0,0,56206,cortex-metrics1-us-east1,rubix-asg-cortex-metrics1-us-east1-20250603055730926100000003,542,
AML,AML Monitoring,441626067991,prod,441626067991:us-west-2:rubix-asg-centcom-cortex-metrics-3-20250521055052628500000003,us-west-2,us-west-2b,r7g.4xlarge,USD,$0.15,$156.00,"1,072",1,0,,,4,4,Autoscale,m6g.medium,1,1,$0.01,$154.00,99%,0,50,16,1,128,4,0,0,56206,centcom-cortex-metrics-3,rubix-asg-centcom-cortex-metrics-3-20250521055052628500000003,1956,
AML,AML Monitoring,441626067991,prod,441626067991:us-west-2:rubix-asg-centcom-cortex-metrics-3-20250610032124013400000003,us-west-2,us-west-2a,m5.large,USD,$0.02,$0.00,3,28,8,,,3,3,Autoscale,c6g.medium,2,2,$0.01,$0.01,45%,0,0,2,1,8,2,1,0,56206,centcom-cortex-metrics-3,rubix-asg-centcom-cortex-metrics-3-20250610032124013400000003,5728,
AML,AML Monitoring,441626067991,prod,441626067991:us-west-2:rubix-asg-centcom-cortex-metrics-arcadia-20250616153139078600000003,us-west-2,us-west-2b,(multiple),USD,$0.13,$118.00,"1,205",33,37,,,3,11,Autoscale,m6g.medium,3,31,$0.01,$101.39,86%,0,0,2,1,16,4,0,0,56206,centcom-cortex-metrics-arcadia,rubix-asg-centcom-cortex-metrics-arcadia-20250616153139078600000003,2453,
AML,AML Monitoring,441626067991,prod,441626067991:us-west-2:rubix-asg-centcom-cortex-metrics-gbi-20250616091703645800000003,us-west-2,us-west-2b,(multiple),USD,$0.09,$52.00,"1,002",16,14,,,3,8,Autoscale,r6g.medium,1,7,$0.01,$47.56,92%,0,0,2,1,16,8,0,0,56206,centcom-cortex-metrics-gbi,rubix-asg-centcom-cortex-metrics-gbi-20250616091703645800000003,3243,
AML,AML Monitoring,441626067991,prod,441626067991:us-west-2:rubix-asg-centcom-grafana01-us-west2-cluster-20220804205631505000000004,us-west-2,us-west-2b,r7g.8xlarge,USD,$0.29,"$1,472.00","5,768",31,15,,,8,10,Autoscale,r6g.xlarge,7,21,$0.03,"$1,231.33",84%,0,0,32,4,256,32,0,0,56206,centcom-grafana01-us-west2-cluster,rubix-asg-centcom-grafana01-us-west2-cluster-20220804205631505000000004,208,
AML,AML Monitoring,441626067991,prod,441626067991:us-west-2:rubix-asg-centcom-prod-cortex-metrics-20250124200004536200000003,us-west-2,us-west-2b,r7g.4xlarge,USD,$0.15,$398.00,"2,740",3,1,,,5,10,Autoscale,r6g.medium,1,5,$0.01,$392.96,99%,0,0,16,1,128,8,0,0,56206,centcom-prod-cortex-metrics,rubix-asg-centcom-prod-cortex-metrics-20250124200004536200000003,737,
AML,AML Monitoring,441626067991,prod,441626067991:us-west-2:rubix-asg-centcom-prod-cortex-metrics-20250610104226008700000003,us-west-2,us-west-2b,m5.large,USD,$0.02,$0.00,10,29,6,,,5,5,Autoscale,m6g.medium,1,3,$0.01,$0.05,63%,0,0,2,1,8,4,1,1,56206,centcom-prod-cortex-metrics,rubix-asg-centcom-prod-cortex-metrics-20250610104226008700000003,5725,
AML,AML Monitoring,441626067991,prod,441626067991:us-west-2:rubix-asg-centcom-prod-langfuse-20250618045942327700000003,us-west-2,us-west-2b,r7g.4xlarge,USD,$0.15,$75.00,777,4,4,,,3,3,Autoscale,r6g.medium,2,3,$0.01,$70.23,94%,0,0,16,1,128,8,0,0,56206,centcom-prod-langfuse,rubix-asg-centcom-prod-langfuse-20250618045942327700000003,2452,
AML,AML Monitoring,441626067991,prod,441626067991:us-west-2:rubix-asg-centcom-prod-otel-20240229215537375400000003,us-west-2,us-west-2c,m7g.8xlarge,USD,$0.22,"$1,122.00","5,768",21,26,,,8,10,Autoscale,m6g.large,10,34,$0.01,$955.27,85%,0,0,32,2,128,8,0,0,56206,centcom-prod-otel,rubix-asg-centcom-prod-otel-20240229215537375400000003,252,
AML,AML Monitoring,441626067991,prod,441626067991:us-west-2:rubix-asg-corekpi-prod-us-west-2-cluster-20220316185151616600000003,us-west-2,us-west-2a,r7g.large,USD,$0.02,$46.00,"2,880",28,11,,,4,4,Autoscale,r6g.medium,1,3,$0.01,$37.90,82%,0,0,2,1,16,8,1,1,56206,corekpi-prod-us-west-2-cluster,rubix-asg-corekpi-prod-us-west-2-cluster-20220316185151616600000003,3709,
AML,AML-Solutions - autoflow,9870003360,test,009870003360:us-west-2:rubix-asg-compliance-engine-it-us-west-2-20220428015520734000000003,us-west-2,us-west-2b,t3.xlarge,USD,$0.03,$125.00,"5,040",30,31,,,7,7,Autoscale,t4g.small,14,18,$0.00,$93.40,75%,0,0,2,0,16,2,0,0,200322,compliance-engine-it-us-west-2,rubix-asg-compliance-engine-it-us-west-2-20220428015520734000000003,2417,
AML,AML-Solutions - autoflow,9870003360,test,009870003360:us-west-2:rubix-asg-compliance-engine-uat-us-west-2-20220613220904550800000003,us-west-2,us-west-2c,t3.xlarge,USD,$0.03,$107.00,"4,320",37,40,,,6,6,Autoscale,t4g.small,15,20,$0.00,$73.39,68%,0,0,2,0,16,2,0,0,200322,compliance-engine-uat-us-west-2,rubix-asg-compliance-engine-uat-us-west-2-20220613220904550800000003,2752,
AML,AML-Solutions - autoflow,312551896394,test,312551896394:us-east-1:rubix-asg-autoflow-dev-us-east-1-cluster-20221130000318900900000003,us-east-1,us-east-1c,t3.xlarge,USD,$0.03,$143.00,"5,760",25,29,,,8,8,Autoscale,t4g.small,19,19,$0.00,$103.87,73%,0,0,2,0,16,2,0,0,200320,autoflow-dev-us-east-1-cluster,rubix-asg-autoflow-dev-us-east-1-cluster-20221130000318900900000003,2346,
AML,AML-Solutions - autoflow,312551896394,test,312551896394:us-east-1:rubix-asg-autoflow-it-us-east-1-cluster-20221221225907298300000003,us-east-1,us-east-1a,t3.xlarge,USD,$0.03,$143.00,"5,760",30,33,,,8,8,Autoscale,t4g.small,20,21,$0.00,$99.78,70%,0,0,2,0,16,2,0,0,200320,autoflow-it-us-east-1-cluster,rubix-asg-autoflow-it-us-east-1-cluster-20221221225907298300000003,2366,
AML,AML-Solutions - autoflow,312551896394,test,312551896394:us-east-1:rubix-asg-autoflow-uat-us-east-1-cluster-20221222164703669900000003,us-east-1,us-east-1b,t3.xlarge,USD,$0.03,$232.00,"9,360",25,24,,,13,13,Autoscale,t4g.micro,49,51,$0.00,$180.66,78%,0,0,2,0,16,1,0,0,200320,autoflow-uat-us-east-1-cluster,rubix-asg-autoflow-uat-us-east-1-cluster-20221222164703669900000003,1224,
AML,AML-Solutions - autoflow,312551896394,test,312551896394:us-west-2:rubix-asg-autoflow-dev-us-west-2-cluster-20220420174205243800000003,us-west-2,us-west-2b,t3.xlarge,USD,$0.03,$107.00,"4,320",28,26,,,6,6,Autoscale,t4g.small,12,13,$0.00,$82.57,77%,0,0,2,0,16,2,0,0,200320,autoflow-dev-us-west-2-cluster,rubix-asg-autoflow-dev-us-west-2-cluster-20220420174205243800000003,2643,
AML,AML-Solutions - autoflow,312551896394,test,312551896394:us-west-2:rubix-asg-autoflow-it-us-west-2-cluster-20220801215916411800000003,us-west-2,us-west-2b,t3.xlarge,USD,$0.03,$143.00,"5,760",31,40,,,8,8,Autoscale,t4g.small,22,26,$0.00,$96.95,68%,0,0,2,0,16,2,0,0,200320,autoflow-it-us-west-2-cluster,rubix-asg-autoflow-it-us-west-2-cluster-20220801215916411800000003,2378,
AML,AML-Solutions - autoflow,312551896394,test,312551896394:us-west-2:rubix-asg-autoflow-uat-us-west-2-cluster-20220906205022167000000003,us-west-2,us-west-2b,m5n.8xlarge,USD,$0.32,"$2,337.00","8,197",5,15,,,11,13,Autoscale,x2gd.medium,8,17,$0.01,"$2,217.22",95%,0,0,32,1,128,16,0,0,200320,autoflow-uat-us-west-2-cluster,rubix-asg-autoflow-uat-us-west-2-cluster-20220906205022167000000003,100,
AML,AML-Solutions - autoflow,470611439475,prod,470611439475:us-east-1:rubix-asg-autoflow-prod-us-east-1-cluster-20220818223620833600000003,us-east-1,us-east-1c,m5n.8xlarge,USD,$0.32,"$2,042.00","7,200",3,8,,,10,10,Autoscale,x2gd.medium,6,12,$0.01,"$1,977.38",97%,0,0,32,1,128,16,0,0,200320,autoflow-prod-us-east-1-cluster,rubix-asg-autoflow-prod-us-east-1-cluster-20220818223620833600000003,108,
AML,AML-Solutions - autoflow,470611439475,prod,470611439475:us-west-2:rubix-asg-autoflow-prod-us-west-2-cluster-20220817041219613900000003,us-west-2,us-west-2b,m5n.8xlarge,USD,$0.32,"$3,064.00","10,800",5,13,,,15,15,Autoscale,x2gd.medium,8,27,$0.01,"$2,926.39",96%,0,0,32,1,128,16,0,0,200320,autoflow-prod-us-west-2-cluster,rubix-asg-autoflow-prod-us-west-2-cluster-20220817041219613900000003,64,
